id,symbol,name,polygon_pos_contract_hash,ethereum_contract_hash,avalanche_contract_hash,solana_contract_hash,circulating_supply,total_supply,max_supply,ath,ath_date,atl,atl_date,last_updated
havven,SNX,Synthetix Network Token,0x50b728d8d964fd00c2d0aad81718b71311fef68a,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xbec243c995409e6520d7c41e404da5deba4b209b,NaN,211861198.6752884,244199074.690449,244199074.690449,28.53,2021-02-14T01:12:38.505Z,0.0347864,2019-01-06T00:00:00.000Z,2022-02-24T23:14:13.487Z
hedera-hashgraph,HBAR,Hedera,NaN,NaN,NaN,NaN,19565356901.0,50000000000.0,NaN,0.569229,2021-09-15T10:40:28.318Z,0.00986111,2020-01-02T17:30:24.852Z,2022-02-24T23:14:16.164Z
helium,HNT,Helium,NaN,NaN,NaN,NaN,100539361.984279,223000000.0,223000000.0,54.88,2021-11-12T23:08:25.301Z,0.113248,2020-04-18T00:19:10.902Z,2022-02-24T23:13:45.775Z
hive,HIVE,Hive,NaN,NaN,NaN,NaN,371261453.714,NaN,NaN,3.41,2021-11-26T01:46:11.175Z,0.087309,2020-04-06T07:35:48.099Z,2022-02-24T23:13:40.938Z
holotoken,HOT,Holo,NaN,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,NaN,NaN,177619433541.141,177619433541.141,NaN,0.03126682,2021-04-05T16:04:52.608Z,0.0002202,2020-03-13T02:23:01.612Z,2022-02-24T23:13:52.475Z
humans-ai,HEART,Humans.ai,NaN,0x8fac8031e079f409135766c7d5de29cf22ef897c,NaN,NaN,0.0,7800000000.0,7800000000.0,0.278557,2021-12-26T18:32:54.961Z,0.105344,2021-12-13T12:52:09.323Z,2022-02-24T23:13:42.847Z
huobi-btc,HBTC,Huobi BTC,NaN,0x0316eb71485b0ab14103307bf65a021042c6d380,NaN,NaN,39884.082204742,39884.082204742,39884.082204742,69325.0,2021-05-10T02:33:06.038Z,11209.02,2020-10-12T03:56:16.768Z,2022-02-24T23:12:58.938Z
huobi-token,HT,Huobi Token,NaN,0x6f259637dcd74c767781e37bc6133cd6a68aa161,NaN,NaN,156124154.25441208,500000000.0,500000000.0,39.66,2021-05-12T14:42:21.586Z,0.90862,2019-01-30T00:00:00.000Z,2022-02-24T23:13:56.562Z
husd,HUSD,HUSD,NaN,0xdf574c24545e5ffecb9a659c229253d4111d87e1,NaN,NaN,224852570.411829,224852570.411829,NaN,1.25,2020-03-13T02:40:09.956Z,0.973514,2021-01-05T00:00:00.000Z,2022-02-24T23:13:42.834Z
hxro,HXRO,Hxro,NaN,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,NaN,NaN,436496116.3235563,1000000000.0,NaN,0.800981,2021-06-05T00:59:41.210Z,0.00914678,2019-11-10T15:12:15.992Z,2022-02-24T23:14:18.320Z
icon,ICX,ICON,NaN,NaN,NaN,NaN,725035945.385343,800460000.0,NaN,13.16,2018-01-09T00:00:00.000Z,0.107465,2020-01-03T02:14:53.139Z,2022-02-24T23:13:32.442Z
illuvium,ILV,Illuvium,NaN,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,NaN,NaN,642891.9682260819,7000000.0,10000000.0,1911.26,2021-11-30T15:18:57.382Z,29.23,2021-06-22T14:11:59.151Z,2022-02-24T23:14:06.220Z
immutable-x,IMX,Immutable X,NaN,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,NaN,NaN,235284001.0,2000000000.0,2000000000.0,9.52,2021-11-26T01:03:01.536Z,1.33,2022-02-24T10:39:05.300Z,2022-02-24T23:14:06.405Z
injective-protocol,INJ,Injective Protocol,NaN,0xe28b3b32b6c345a34ff64674606124dd5aceca30,NaN,NaN,48655554.33,100000000.0,100000000.0,24.89,2021-04-30T00:33:02.969Z,0.657401,2020-11-03T16:19:30.576Z,2022-02-24T23:14:06.588Z
interest-bearing-bitcoin,IBBTC,Interest Bearing Bitcoin,NaN,0xc4e15973e6ff2a35cc804c2cf9d2a1b817a8b40f,NaN,NaN,5272.91690167255,5272.91690167255,NaN,68318.0,2021-11-09T05:36:40.088Z,29386.0,2021-07-20T03:40:54.635Z,2022-02-22T09:44:49.310Z
internet-computer,ICP,Internet Computer,NaN,NaN,NaN,NaN,207438091.126542,469213710.0,469213710.0,700.65,2021-05-10T16:05:53.653Z,14.88,2022-02-24T07:39:52.750Z,2022-02-24T23:14:14.886Z
ion,ION,Ion,NaN,NaN,NaN,NaN,21294.0,21294.0,21294.0,22355.0,2022-01-16T14:21:52.507Z,871.19,2021-07-02T13:37:39.130Z,2022-02-24T23:04:11.152Z
iostoken,IOST,IOST,NaN,NaN,NaN,NaN,23052912522.9398,23052912522.9398,90000000000.0,0.129829,2018-01-24T00:00:00.000Z,0.00160309,2020-03-13T02:25:35.257Z,2022-02-24T23:13:53.030Z
iota,MIOTA,IOTA,NaN,NaN,NaN,NaN,2779530283.277761,2779530283.0,NaN,5.25,2017-12-19T00:00:00.000Z,0.081637,2020-03-13T02:22:41.168Z,2022-02-24T23:14:02.854Z
iotex,IOTX,IoTeX,NaN,NaN,NaN,NaN,9490829322.48387,9496266827.32,9496266827.32,0.255593,2021-11-13T16:54:18.643Z,0.00121576,2020-03-13T02:29:47.597Z,2022-02-24T23:14:15.493Z
joe,JOE,JOE,NaN,NaN,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,NaN,173601769.880434,305532554.23338,500000000.0,5.09,2021-11-21T14:27:00.202Z,0.02658814,2021-08-11T14:01:35.223Z,2022-02-24T23:14:04.855Z
juno-network,JUNO,JUNO,NaN,NaN,NaN,NaN,44129582.569221,73698216.28863,185562268.0,33.98,2022-02-23T18:09:15.762Z,7.53,2021-12-18T01:59:28.685Z,2022-02-24T23:10:09.673Z
just,JST,JUST,NaN,NaN,NaN,NaN,7300425000.0,9900000000.0,9900000000.0,0.193254,2021-04-05T04:34:23.454Z,0.00476275,2020-05-09T06:08:54.872Z,2022-02-24T23:13:57.646Z
kadena,KDA,Kadena,NaN,NaN,NaN,NaN,171287601.11586,1000000000.0,1000000000.0,27.64,2021-11-11T13:22:45.731Z,0.065811,2020-03-13T02:00:28.582Z,2022-02-24T23:12:15.104Z
kava,KAVA,Kava,NaN,NaN,NaN,NaN,154093523.0,161544049.0,NaN,9.12,2021-08-30T11:10:02.948Z,0.287137,2020-03-13T02:24:16.835Z,2022-02-24T23:14:06.353Z
keep3rv1,KP3R,Keep3rV1,NaN,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,NaN,NaN,368131.025599202,368131.025599202,368131.025599202,1995.53,2021-11-13T07:45:59.390Z,24.23,2020-10-28T09:58:45.766Z,2022-02-24T23:13:55.127Z
keep-network,KEEP,Keep Network,NaN,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,NaN,NaN,549716300.2685891,1000000000.0,1000000000.0,6.1,2020-05-15T00:00:00.000Z,0.177138,2020-11-17T03:49:09.210Z,2022-02-24T23:12:54.757Z
klay-token,KLAY,Klaytn,NaN,NaN,NaN,NaN,2635428486.2,NaN,NaN,4.34,2021-03-30T03:44:28.828Z,0.06044,2020-04-29T08:19:34.574Z,2022-02-24T23:14:15.026Z
kucoin-shares,KCS,KuCoin Token,NaN,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,NaN,NaN,76128123.0,166128123.0,NaN,28.83,2021-12-01T15:09:35.541Z,0.342863,2019-02-07T00:00:00.000Z,2022-02-24T23:13:56.601Z
kusama,KSM,Kusama,NaN,NaN,NaN,NaN,8980098.074112339,10000000.0,10000000.0,621.71,2021-05-18T05:04:41.858Z,0.876572,2020-01-14T19:20:20.768Z,2022-02-24T23:14:07.481Z
kyber-network-crystal,KNC,Kyber Network Crystal,0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0x39fc9e94caeacb435842fadedecb783589f50f5f,NaN,102522603.24294408,191745078.056918,226000000.0,2.93,2021-04-22T10:10:23.299Z,1.11,2021-06-22T14:01:23.365Z,2022-02-24T23:13:53.308Z
leo-token,LEO,LEO Token,NaN,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,NaN,NaN,937048932.9,985239504.0,NaN,8.14,2022-02-08T17:40:10.285Z,0.799859,2019-12-24T15:14:35.376Z,2022-02-24T23:13:51.543Z
lido-staked-sol,STSOL,Lido Staked SOL,NaN,NaN,NaN,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2246641.534,2246610.3622,2246610.3622,263.24,2021-11-07T01:28:34.051Z,79.54,2022-02-24T04:23:33.569Z,2022-02-24T23:13:14.573Z
link,LN,LINK,NaN,NaN,NaN,NaN,5976022.340796,6045959.0,NaN,345.88,2021-04-01T22:19:00.034Z,1.055,2018-12-26T00:00:00.000Z,2022-02-24T23:12:00.241Z
